	I	O	P	pmid	y
383	How effective are diuretics for high-risk hypertension?.	How effective are diuretics for high-risk hypertension?.	How effective are diuretics for high-risk hypertension?.	12681079	-1
384	Angiotensin-converting enzyme inhibitors and nitrates were uptitrated over 6 months to a final dose of lisinopril 53 +/- 31 mg/day, and isosorbide dinitrate 217 +/- 213 mg/day.	Two-dimensional Doppler echocardiography and metabolic stress testing were performed at baseline, at 6 months on lisinopril-nitrates only, and at 12 months on combined ACE inhibitor-nitrate and beta-blocker therapy.	METHODS: Thirteen patients, aged 52 +/- 8 years, with moderate to severe heart failure, 12 of whom were referred for transplant consideration, with heart failure duration of 4.8 +/- 2.2 years, were prospectively followed for 12 months.	9853182	-1
385	DESIGN: Multicenter, double-blind, parallel-group trial in 378 patients, randomized to once-daily treatment with telmisartan 10, 20, 40 mg, 80 mg, or continuation of enalapril 10 mg twice daily for 12 weeks.	CONCLUSIONS: (1) In patients with stable, mild-to-moderate congestive heart failure, enalapril could be replaced by telmisartan for a period of 12 weeks without deterioration in exercise capacity or clinical status.	CONCLUSIONS: (1) In patients with stable, mild-to-moderate congestive heart failure, enalapril could be replaced by telmisartan for a period of 12 weeks without deterioration in exercise capacity or clinical status.	11182175	-1
386	METHODS: A double blind randomised study was performed to evaluate the feasibility, and tolerability of the administration of the 25 mg/day of canreonate plus captopril versus captopril alone in patients with anterior AMI unsuitable for thrombolysis and/or not receiving thrombolytic treatment, and unreperfused after thrombolysis.	Ten days after admission they underwent echocardiography to determine end systolic volume (ESV), ejection fraction (EF), End diastolic diameter EDD, E/A ratio, E deceleration time (dec. time) and isovolumetric relaxation time (IVRT), E and A peak velocities.	METHODS: A double blind randomised study was performed to evaluate the feasibility, and tolerability of the administration of the 25 mg/day of canreonate plus captopril versus captopril alone in patients with anterior AMI unsuitable for thrombolysis and/or not receiving thrombolytic treatment, and unreperfused after thrombolysis.	11182173	-1
387	The earlier large multicentre trials in hypertensive patients addressed questions of whether mild to moderate hypertension should be treated and whether similar approaches would be effective in elderly hypertensive patients or those with isolated systolic hypertension.	Similar efficacy for cardiovascular outcomes appears to be emerging for each of the major classes of drugs with the degree of blood pressure lowering of prime importance in cardiovascular disease prevention.	The Captopril Prevention Project study and Swedish Trial in Old Patients with Hypertension-2 trial focussed on whether there might be specific antiatherosclerotic advantages of the newer agents (angiotensin converting enzyme inhibitors and calcium entry blockers) over conventional therapy in comparison studies with beta blockers and diuretics.	10847331	-1
388	INTERVENTIONS: Patients were treated for 6 months, starting with perindopril (angiotensin converting enzyme (ACE) inhibitor) 4 mg once daily (OD), increased to 8 mg OD, and combined to diuretic (indapamide 2.5 mg OD) if BP was uncontrolled (> 140/90 mmHg).	Pulse wave velocity as endpoint in large-scale intervention trial.	PATIENTS: Subjects aged 18-79 years, with essential hypertension.	11330885	-1
389	Secondary prevention of coronary heart disease..	Despite the significant reduction in cardiovascular mortality during the past three decades, atherosclerotic coronary heart disease (CHD) remains the leading cause of death and disability in the United States.	Secondary prevention of coronary heart disease..	9710178	-1
390	The treatment comparisons were: (i) 1 month of oral captopril (6.25 mg initial dose titrated up to 50 mg twice daily) versus matching placebo; (ii) 1 month of oral controlled-release mononitrate (30 mg initial dose titrated up to 60 mg once daily) versus matching placebo; and (iii) 24 h of intravenous magnesium sulphate (8 mmol initial bolus followed by 72 mmol) versus open control.	ISIS-4: a randomised factorial trial assessing early oral captopril, oral mononitrate, and intravenous magnesium sulphate in 58,050 patients with suspected acute myocardial infarction.	ISIS-4: a randomised factorial trial assessing early oral captopril, oral mononitrate, and intravenous magnesium sulphate in 58,050 patients with suspected acute myocardial infarction.	7661937	1
391	Group A (22 subjects: 6 women/16 men) received captopril (75 mg/day) and placebo, while group B (22 subjects: 5 women/17 men) was given captopril (75 mg/day) plus losartan, initially at 12.5 mg and then at 25 mg/day thereafter (BP > 110 mmHg). This study has attempted to verify the feasibility, safety and tolerability of a combined treatment using captopril (75 mg/day) and losartan (25 mg/day), and to ascertain its ability to reduce the formation and action of A II in the early post-infarction phase of reperfused anterior myocardial infarction (AMI).	METHOD: Forty-four patients hospitalized for suspected AMI within 4 hours of the onset of symptoms, who were suitable for thrombolysis (first episode), in Killip class I-II, reperfused, treated with 75 mg/day of captopril within 3 days of admission and with a blood pressure level of more than 120 mmHg, were randomized (single-blind) into two groups that were similar with regard to age, sex, blood pressure, CK peak, ejection fraction, end-systolic volume and risk factors.	METHOD: Forty-four patients hospitalized for suspected AMI within 4 hours of the onset of symptoms, who were suitable for thrombolysis (first episode), in Killip class I-II, reperfused, treated with 75 mg/day of captopril within 3 days of admission and with a blood pressure level of more than 120 mmHg, were randomized (single-blind) into two groups that were similar with regard to age, sex, blood pressure, CK peak, ejection fraction, end-systolic volume and risk factors.	9470059	-1
392	Telmisartan was given as a single oral (1-160 mg) or intravenous (10-160 mg) dose to young males. Elderly subjects received oral telmisartan (20 and 120 mg) once daily for 7 days.	In addition, two phase-II clinical trials assessed the pharmacokinetics and the safety of telmisartan in mild-to-moderate hypertensive patients.	Pharmacokinetics of orally and intravenously administered telmisartan in healthy young and elderly volunteers and in hypertensive patients.. A series of studies was conducted in healthy young males and healthy elderly males or females to evaluate the pharmacokinetic profile of telmisartan.	11014323	-1
393	Effect of serum lipid concentrations on restenosis after successful de novo percutaneous transluminal coronary angioplasty in patients with total cholesterol 160 to 240 mg/dl and triglycerides < 350 mg/dl..	Effect of serum lipid concentrations on restenosis after successful de novo percutaneous transluminal coronary angioplasty in patients with total cholesterol 160 to 240 mg/dl and triglycerides < 350 mg/dl..	Effect of serum lipid concentrations on restenosis after successful de novo percutaneous transluminal coronary angioplasty in patients with total cholesterol 160 to 240 mg/dl and triglycerides < 350 mg/dl..	7733005	-1
394	Consider renovascular hypertension (HT) when: Newly diagnosed hypertension presents with features that are atypical of essential hypertension; Resistant hypertension is associated with risk factors for atheroma; or Angiotensin-converting enzyme (ACE) inhibitor or angiotensin-II-receptor antagonist therapy is associated with increasing plasma creatinine levels.	Renal artery stenosis: a disease worth pursuing..	Renal artery stenosis: a disease worth pursuing..	11548082	-1
395	Transdermal nitroglycerin patch therapy improves left ventricular function and prevents remodeling after acute myocardial infarction: results of a multicenter prospective randomized, double-blind, placebo-controlled trial.. BACKGROUND: Nitrates are widely used in the treatment of angina in patients with acute myocardial infarction (AMI).	The primary study end point was the change in end-systolic volume index (ESVI).	Transdermal nitroglycerin patch therapy improves left ventricular function and prevents remodeling after acute myocardial infarction: results of a multicenter prospective randomized, double-blind, placebo-controlled trial.. BACKGROUND: Nitrates are widely used in the treatment of angina in patients with acute myocardial infarction (AMI).	9610531	-1
396	The dose of fosinopril was 20 mg, which could be increased to 40 mg after 8 weeks (average 25.6 mg); that of enalapril was 10 mg, which could be increased to 20 mg after 8 weeks (average 12.9 mg). After discontinuing all previous antihypertensive medication, patients were entered into a placebo lead-in period of 4-6 weeks, followed by 24 weeks of randomized treatment with the active compounds administered with a double-dummy technique. Hydrochlorothiazide 12.5 mg could be added after 16 weeks and was administered to 27% of the patients in the fosinopril group and to 30% in the enalapril group.	The new angiotensin-converting enzyme (ACE) inhibitor fosinopril was compared with the ACE inhibitor enalapril in a multicenter (n = 11), multinational (Denmark, Finland, Iceland, Norway, and Sweden), double-blind, randomized, parallel-group 24-week study in 195 patients with mild to moderate essential hypertension [supine diastolic blood pressure, (SDBP) > or = 95 to < or = 110 mm Hg].	Fosinopril versus enalapril in the treatment of hypertension: a double-blind study in 195 patients..	8797128	-1
397	Ten patients who had their blood pressure controlled with enalapril (10 mg, n = 4; 20 mg, n = 6) and 10 control subjects on perindopril (4 mg, n = 6; 8 mg, n = 4) entered a double-blind crossover study.	Twenty-four hours after receiving the active drug the blood pressure of subjects on perindopril did not differ from the peak effect when corrected for placebo and circadian variation, whereas the blood pressure on enalapril was higher.	Ten patients who had their blood pressure controlled with enalapril (10 mg, n = 4; 20 mg, n = 6) and 10 control subjects on perindopril (4 mg, n = 6; 8 mg, n = 4) entered a double-blind crossover study.	8031555	-1
398	In this study, we investigated the association between the drug-induced pulmonary infiltration with eosinophilia (PIE) syndrome in a patient with hypertension and the angiotensin-converting enzyme inhibitor (ACE-I) captopril.	Although the patient developed diffuse lung field infiltrates accompanied by productive cough and striking peripheral eosinophilia, these symptoms disappeared after termination of the administration of captopril, pronase and cephalexine.	In this study, we investigated the association between the drug-induced pulmonary infiltration with eosinophilia (PIE) syndrome in a patient with hypertension and the angiotensin-converting enzyme inhibitor (ACE-I) captopril.	8680103	-1
399	After 3 weeks of placebo, 101 (62 men; age range, 34-72 years) hypertensives with type II diabetes mellitus were randomized to M 10-20 mg or E 10-20 mg, od, for 24 weeks.	Markers of glucose and lipid metabolism and renal function were not significantly modified by treatment both with M and with E. In the diabetic hypertensives, M was as effective and metabolically neutral as the ACE-inhibitor E.	After 3 weeks of placebo, 101 (62 men; age range, 34-72 years) hypertensives with type II diabetes mellitus were randomized to M 10-20 mg or E 10-20 mg, od, for 24 weeks.	10836728	-1
400	In one period, patients received lisinopril 40 mg q.d.	Supine plasma renin activity and plasma aldosterone and 24-hour urine protein were measured in all patients.	METHODS: Sixteen patients with proteinuric moderately advanced chronic renal failure completed a two-period, crossover, randomized controlled trial.	11380832	-1
401	METHODS: A total of 406 patients were randomized to an 8-week forced-titration period with one of the following: 1) COER-24 verapamil 240 mg/day titrated to 360 mg/day; 2) enalapril 10 mg/day titrated to 20 mg/day, 3) losartan 50 mg/day titrated to 100 mg/day, or 4) placebo. The aim of this randomized, double-blinded, placebo-controlled, multicenter study was to compare once-daily, controlled-onset, extended-release (COER-24) verapamil to enalapril and losartan on BP and heart rate during the postawakening morning phase as well as throughout the 24-h period.	A comparative trial of controlled-onset, extended-release verapamil, enalapril, and losartan on blood pressure and heart rate changes.. BACKGROUND: The excess morning risk of myocardial infarction and stroke may be attributable to the rapid rise in blood pressure (BP) and heart rate in the hours after awakening.	A comparative trial of controlled-onset, extended-release verapamil, enalapril, and losartan on blood pressure and heart rate changes.. BACKGROUND: The excess morning risk of myocardial infarction and stroke may be attributable to the rapid rise in blood pressure (BP) and heart rate in the hours after awakening.	11824861	-1
402	METHODS: In a randomized trial, 822 patients with a first AMI received conventional medical treatment, including intravenous thrombolytic therapy and oral aspirin or metoprolol, and then were randomly allocated to captopril [dosage from the first 6.25 mg to 25 mg/t.i.d, 209 younger patients (< or = 64 years), 269 elderly patients (65-75 years)] or conventional treatment only (131 younger patients, 213 elderly).	Relationship between age and effect of early and long-term captopril treatment in patients with acute myocardial infarction..	Relationship between age and effect of early and long-term captopril treatment in patients with acute myocardial infarction..	11780330	-1
403	Enalapril 20 mg (group 1) or enalapril 20 mg plus hydrochlorothiazide 12.5 mg (single tablet; group 2) was given to 38 patients for 9 weeks in a double-blind, placebo-controlled, randomized study.	Left ventricular (LV) mass and function, metabolic parameters, 24-hour ambulatory blood pressure (BP), exercise duration, and systolic BP response were evaluated before and after drug therapy.	Effectiveness of enalapril in combination with low-dose hydrochlorothiazide versus enalapril alone for mild to moderate systemic hypertension in black patients..	8198036	-1
404	Therefore, in hypertensive urgencies BP should be lowered gradually over 24 to 48 hours using oral antihypertensives.	Comparative tolerability profile of hypertensive crisis treatments.. Hypertensive crisis is defined as a severe elevation in BP and is classified as either urgency or emergency.	Captopril should be avoided in patients with bilateral renal artery stenosis or unilateral renal artery stenosis in patients with a solitary kidney.	9704248	-1
405	Women, aged 40 to 69 years, with a seated diastolic blood pressure (DBP) of 95 to 115 mm Hg, were randomized to candesartan cilexetil, 8 to 16 mg (n = 140), enalapril, 10 to 20 mg (n = 146), or HCTZ, 12.5 to 25 mg (n = 143), for 12 weeks; the higher doses were used if DBP was greater than 90 mm Hg after 6 weeks.	The aim of this large, randomized, double-blind, parallel-group study in hypertensive women was to compare the antihypertensive efficacy and effects on subjective symptoms and quality of life of the new angiotensin II type 1 (AT1) receptor blocker candesartan cilexetil, the angiotensin-converting enzyme inhibitor enalapril, and the diuretic hydrochlorothiazide (HCTZ).	Women, aged 40 to 69 years, with a seated diastolic blood pressure (DBP) of 95 to 115 mm Hg, were randomized to candesartan cilexetil, 8 to 16 mg (n = 140), enalapril, 10 to 20 mg (n = 146), or HCTZ, 12.5 to 25 mg (n = 143), for 12 weeks; the higher doses were used if DBP was greater than 90 mm Hg after 6 weeks.	10826401	-1
406	The authors applied Fourier transform infrared microscopy (FTIRM) to the molecular characterization of crystal deposits in tissue and compared the results with those provided by histologic studies using polarized light microscope and histochemical reactions.	The presence of crystal deposits in tissues is associated with various pathologies.	The presence of crystal deposits in tissues is associated with various pathologies.	8623766	-1
407	Studies were repeated after 16 weeks of treatment with additive single daily dose of 25 mg of spironolactone.	Effects of spironolactone on exercise capacity and neurohormonal factors in patients with heart failure treated with loop diuretics and angiotensin-converting enzyme inhibitor.. 1.	Effects of spironolactone on exercise capacity and neurohormonal factors in patients with heart failure treated with loop diuretics and angiotensin-converting enzyme inhibitor.. 1.	9595286	-1
408	OBJECTIVE: We evaluated the antihypertensive response of the estradiol-medroxyprogesterone, to reduce arterial pressure in the premenopausal patient.	OBJECTIVE: We evaluated the antihypertensive response of the estradiol-medroxyprogesterone, to reduce arterial pressure in the premenopausal patient.	MATERIAL AND METHODS: In a clinical trial from March 1997 to September 1998, 106 patients with systemic hypertension, symptoms hypoestrogenism and estradiol levels less than 30 pg/mL were evaluated.	11195960	-1
409	METHODS: This meta-analysis was conducted on six comparative double-blind studies including 771 patients with angina or hypertension in which SR diltiazem 200-300 mg once daily was compared either with placebo or with other agents known not to influence HR (angiotensin-converting enzyme inhibitors, diuretics).	Heart rate-lowering and -regulating effects of once-daily sustained-release diltiazem.. BACKGROUND: Epidemiologic evidence suggests that an elevated heart rate (HR) is an adverse and independent prognostic factor in arterial hypertension and other cardiovascular diseases.	Although diltiazem is characterized as an HR-lowering calcium antagonist, no studies have quantified the magnitude of HR changes in patients with angina or hypertension.	11195610	-1
410	METHODS: 81 patients with non-diabetic renal disease had been entered into a randomised comparison of oral atenolol or enalapril to prevent progressive decline in renal function.	The dose was titrated to a goal diastolic blood pressure of 10 mm Hg below baseline and/or below 95 mm Hg.	METHODS: 81 patients with non-diabetic renal disease had been entered into a randomised comparison of oral atenolol or enalapril to prevent progressive decline in renal function.	8538349	-1
411	The present study used 24-h recording methods to examine the hypothesis that during the normal waking hours of rats (night-time) the hypertensive response to a high NaCl diet is exacerbated in SHR and induced in WKY rats treated with lifetime captopril.	In both strains, the lifetime captopril treatment causes a change in the response that is not dependent on concurrent administration of the drug.	Interaction between lifetime captopril treatment and NaCI-sensitive hypertension in spontaneously hypertensive rats and Wistar-Kyoto rats.. DESIGN: Previous studies that were based on daytime arterial pressure recordings indicate that lifetime treatment with captopril exacerbates the hypertensive response to a high NaCl diet in spontaneously hypertensive rats (SHR) but has no such effect in normotensive Wistar-Kyoto (WKY) rats.	10419072	-1
412	Following a six week period on a low fat diet, patients were randomly allocated to additional doxazosin (2-8 mg/day) or enalapril (5-20 mg/day) treatment for a further 10 weeks.	Combined effect of a low fat diet and doxazosin on blood pressure control and blood lipids.	This study was designed to see if a low fat diet altered the favourable effect of doxazosin on blood lipids in adults with mild to moderate hypertension and mild to moderate hypercholesterolaemia (5.6-8.0 mmol/l).	7884789	-1
413	Sarcoidosis: the nephrologist's view..	Sarcoidosis: the nephrologist's view..	Sarcoidosis: the nephrologist's view..	11240426	-1
414	All patients received oral therapy with digitalis, furosemide (mean dose 300 +/- 46 mg/day), and enalapril (20 +/- 2.7 mg/day).	OBJECTIVE: To study the hemodynamic effects of prostaglandin E1 (PGE1) administered in addition to a standard catecholamine infusion in patients with severe chronic heart failure.	PATIENTS: Thirty patients with severe chronic heart failure, New York Heart Association functional class IV (28 men, two women, with a mean age of 54 +/- 2 yrs, mean left ventricular ejection fraction 10 +/- 0.6%).	8026195	-1
415	Reports to a national centre and review of the literature..	Drug-induced chest pain and myocardial infarction.	It is important to recognise drugs as a potential cause, especially in patients with normal coronary arteries.	9403280	-1
416	He was treated with lisinopril, spironolactone, and nifedipine retard for blood pressure control.	Acute renal failure induced by angiotensin converting enzyme inhibitor in a patient with polyarteritis nodosa.. We report a patient who presented with malignant hypertension and renal failure.	Acute renal failure induced by angiotensin converting enzyme inhibitor in a patient with polyarteritis nodosa.. We report a patient who presented with malignant hypertension and renal failure.	8723367	-1
417	Eruptions induced by the ACE inhibitor, lisinopril..	Eruptions induced by the ACE inhibitor, lisinopril..	Eruptions induced by the ACE inhibitor, lisinopril..	10091486	-1
418	There were 3379 patients randomly assigned to enalapril with a median follow-up of 974 days and 3379 patients randomly assigned to placebo with a mean follow-up of 967 days.	We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline creatinine, low systolic blood pressure (<100 mm Hg), history of hypertension, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.	BACKGROUND: Although angiotensin-converting enzyme inhibitor therapy reduces mortality rates in patients with congestive heart failure (CHF), it may also cause decreased renal function.	10539815	1
419	Effect of captopril in the treatment of erythrocytosis after renal transplantation..	Effect of captopril in the treatment of erythrocytosis after renal transplantation..	Effect of captopril in the treatment of erythrocytosis after renal transplantation..	8658784	-1
420	We review attempts to diagnose delayed hypersensitivity drug eruptions by patch testing.	Delayed hypersensitivity drug reactions diagnosed by patch testing.. Drug reactions are a common problem in hospital inpatients and outpatients.	We review control data, and offer an operational definition that might make for greater acceptance of the role of diagnostic patch testing in this entity.	8112060	-1
421	Current evidence suggests that in North America and Europe today primary care physicians do underperform in their management of patients with heart failure, often owing to factors outside of their immediate control.	Current evidence suggests that in North America and Europe today primary care physicians do underperform in their management of patients with heart failure, often owing to factors outside of their immediate control.	Current evidence suggests that in North America and Europe today primary care physicians do underperform in their management of patients with heart failure, often owing to factors outside of their immediate control.	11050792	-1
422	Five hundred fifty-three patients from the prevention trial and 181 from the treatment trial of SOLVD underwent ambulatory electrocardiographic monitoring at baseline, and then at 4 and 12 months of double-blind therapy with either placebo or enalapril (2.5 to 10 mg twice daily).	Likewise, there was no difference between the placebo and enalapril groups in runs of nonsustained ventricular tachycardia: baseline (8.3 +/- 4.1 vs 1.9 +/- 0.4 runs/day), 4 months (16 +/- 12 vs 7.2 +/- 4.1 runs/day), or after 12 months of blinded therapy (11 +/- 7.0 vs 6.1 +/- 4.4 runs/day).	We prospectively studied 734 patients recruited in 11 universities for 1 year who were enrolled in the Studies of Left Ventricular Dysfunction (SOLVD) to determine the long-term effects of enalapril and placebo on the frequency and complexity of ventricular arrhythmias in patients with symptomatic (treatment trial) or asymptomatic (prevention trial) heart failure and depressed left ventricular function (ejection fraction < or = 35%).	7778548	-1
423	Then the hypertensives were randomized to enalapril or losartan treatment and were re-evaluated (dental pain perception and ambulatory monitoring) after 8 weeks of the first treatment and after an additional 8 weeks of the second treatment.	The blood pressure reduction during drug assumption could not account for the pain sensitivity changes observed.	Then the hypertensives were randomized to enalapril or losartan treatment and were re-evaluated (dental pain perception and ambulatory monitoring) after 8 weeks of the first treatment and after an additional 8 weeks of the second treatment.	11875316	-1
424	The EUCLID Study Group.	Effect of lisinopril on progression of retinopathy in normotensive people with type 1 diabetes.	EURODIAB Controlled Trial of Lisinopril in Insulin-Dependent Diabetes Mellitus.. BACKGROUND: Retinopathy commonly occurs in people with type 1 diabetes.	9433426	1
425	Captopril is an angiotensin-converting enzyme (ACE) inhibitor and their cutaneous side-effects are documented, but little has been published concerning the usefulness of patch test when they occur.	Positive reaction were obtained to captopril at 4 days and the others test being negative.	Following, we performed a double-blind oral challenge test with drugs who results was negative.	11834188	-1
426	METHODS: Seven microalbuminuric, normotensive males with Type 2 diabetes were entered into a randomised, double-blind, three-armed study of (i) intravenous infusion of ANP (0.25 microg/kg/min in 0.9% NaCl) after 3 weeks' pre-treatment with placebo, (ii) intravenous infusion of vehicle (0.9% NaCl only) after 3 weeks' pre-treatment with placebo, or (3) intravenous infusion of ANP (0.25 microg/kg/min in 0.9% NaCl) after 3 weeks' pre-treatment with perindopril, 4 mg daily.	Pre-treatment with perindopril did not alter the changes in UFR (P=0.63), UcGMP (P=0.46) or UAER (P=0.99) to infusion of ANP, compared with the placebo/ANP arm.	CONCLUSION: ANP increases UAER in microalbuminuric patients with Type 2 diabetes and the albuminuric action of ANP is not inhibited by pre-treatment with the ACE inhibitor perindopril.	12925049	-1
427	Patients stabilized on fosinopril 20 mg/day were randomized to receive either HCTZ 12.5 mg od or indapamide 2.5 mg od for 8 weeks, then crossed over to the alternate therapy for a further 8-week period.	RESULTS: Seated and standing systolic and diastolic blood pressures were not different between HCTZ or indapamide when added to fosinopril, nor was the fasting lipid profile or urinary albumin : creatinine ratio.	CONCLUSIONS: Hydrochlorothiazide 12.5 mg/day, when added to background ACE inhibitor therapy with fosinopril in hypertensive diabetic patients, resulted in a metabolic profile that was similar, if not superior on certain parameters, in comparison with indapamide 2.5 mg/day.	12925048	-1
428	"Polydipsia in chronic psychiatric patients: therapeutic trials of clonidine and enalapril.. A six month long double-blind, placebo-controlled, crossover design pharmacological study was conducted on 14 chronically psychotic, institutionalized patients who suffered from chronic water abuse (""psychogenic polydipsia"")."	Effects of clonidine and enalapril administered separately and individually were assessed for possible beneficial effects on both physiological parameters such as diurnal weight gain, urine output, and serum sodium levels and on signs of delirium as measured by neurobehavioral testing.	"Polydipsia in chronic psychiatric patients: therapeutic trials of clonidine and enalapril.. A six month long double-blind, placebo-controlled, crossover design pharmacological study was conducted on 14 chronically psychotic, institutionalized patients who suffered from chronic water abuse (""psychogenic polydipsia"")."	9509495	-1
429	Vasopeptidase inhibitors and their potential role in diabetes..	Vasopeptidase inhibitors and their potential role in diabetes..	Vasopeptidase inhibitors and their potential role in diabetes..	11940105	-1
430	One-year clinical and echocardiographic follow-up of patients with congestive cardiomyopathy treated with captopril compared to placebo..	Calculated mitral regurgitant volume at 6 and 12 months tended to be lower in the captopril-treated patients.	Thus captopril therapy proved efficacious in patients with severe congestive heart failure and resulted in increased forward stroke volume; it may have a beneficial effect on cardiac dimensions and on mitral regurgitation.	8138400	-1
431	OBJECTIVE: In 1999, the first reporting year of the Health Plan Employer Data and Information Set, our organization noted a significant difference in the proportion of patients with controlled blood pressure (BP) when the target was changed from < 140/90 mm Hg to < or = 140/90 mm Hg.	OBJECTIVE: In 1999, the first reporting year of the Health Plan Employer Data and Information Set, our organization noted a significant difference in the proportion of patients with controlled blood pressure (BP) when the target was changed from < 140/90 mm Hg to < or = 140/90 mm Hg.	OBJECTIVE: In 1999, the first reporting year of the Health Plan Employer Data and Information Set, our organization noted a significant difference in the proportion of patients with controlled blood pressure (BP) when the target was changed from < 140/90 mm Hg to < or = 140/90 mm Hg.	12643339	-1
432	No effect of losartan on response to erythropoietin therapy in patients undergoing hemodialysis..	No effect of losartan on response to erythropoietin therapy in patients undergoing hemodialysis..	No effect of losartan on response to erythropoietin therapy in patients undergoing hemodialysis..	11124620	-1
433	Management of hypertensive emergencies..	Management of hypertensive emergencies..	Management of hypertensive emergencies..	7968030	-1
434	Treatments were candesartan cilexetil/hydrochlorothiazide 8/12.5 mg once daily (n = 237) and lisinopril/hydrochlorothiazide 10/12.5 mg once daily (n = 116) for 26 weeks.	The primary efficacy variable was change in trough sitting diastolic blood pressure.	METHODS: This was a double-blind (double-dummy), randomised, parallel group comparison in patients with a mean sitting diastolic blood pressure 95-115 mm Hg on prior antihypertensive monotherapy.	10805052	-1
435	Captopril 25 mg (or placebo) was given twice, i.e.	The effects of captopril on exercise-induced ischemia were demonstrated most clearly in patients who responded with a greater than 10 mm Hg fall in the resting systolic blood pressure.	The effects of captopril on exercise-induced ischemia were demonstrated most clearly in patients who responded with a greater than 10 mm Hg fall in the resting systolic blood pressure.	7585753	-1
436	In this 12 week, 24 center study, quinapril was administered to 213 patients and titrated to 10, 20, or 40 mg/day alone or 20 mg/day plus 12.5 mg/day hydrochlorothiazide.	Effect of quinapril on the albumin excretion rate in patients with mild to moderate essential hypertension.	Effect of quinapril on the albumin excretion rate in patients with mild to moderate essential hypertension.	8783779	-1
437	In the present study, we examined the effect on left ventricular hypertrophy of adding a low dose of the mineralocorticoid receptor antagonist spironolactone (25 mg/d) to an angiotensin-converting enzyme inhibitor (enalapril maleate) in patients with essential hypertension.	Administration of aldosterone with excess salt produces both cardiac hypertrophy and interstitial cardiac fibrosis in rats, and concomitant administration of potassium canrenoate at a dose that only modestly lowers blood pressure completely blocks the cardiac effects of aldosterone.	Subjects were treated with either an angiotensin-converting enzyme inhibitor alone (group I: 10 patients, 4 men and 6 women, mean age 56 +/- 18 yr) or an angiotensin-converting enzyme inhibitor plus spironolactone (group II: 8 patients, 3 men and 5 women, mean age 59 +/- 14 yr) for 9 mo.	10221346	-1
438	The aim of the study was to evaluate efficacy and tolerability of two different fixed combinations of an angiotensin-converting enzyme inhibitor and a diuretic: delapril+indapamide (D+I) and captopril+hydrochlorothiazide (C+H) administered for 6 months to patients with mild to moderate essential hypertension. After a 1-month treatment period, nonresponders (DBP >90 mmHg, or decrease in DBP <10 mmHg) had the daily dose increased to either delapril 30 mg+indapamide 2.5 mg or captopril 50 mg+hydrochlorothiazide 25 mg tablets for a further 5 months.	The primary assessment of antihypertensive efficacy was the percentage of patients who responded after a 6-month drug treatment.	Patients of both sexes, aged 18-75 years, newly diagnosed or untreated during the last month were included in the study if their diastolic blood pressure (DBP) was > or =95 and < or =114 mmHg.	12574793	-1
439	Patients receiving conventional treatment with digoxin and diuretics were randomly assigned to receive either placebo (n = 51), hydralazine-ISDN.	Effect of vasodilator therapy on mortality in chronic congestive heart failure.. We compared the effects of Hydralazine and Isosorbide dinitrate (ISDN) with those of an angiotensin-converting-enzyme inhibitor, captopril on mortality in patients with chronic congestive heart failure (NYHA class III and IV).	Effect of vasodilator therapy on mortality in chronic congestive heart failure.. We compared the effects of Hydralazine and Isosorbide dinitrate (ISDN) with those of an angiotensin-converting-enzyme inhibitor, captopril on mortality in patients with chronic congestive heart failure (NYHA class III and IV).	8300456	-1
440	Angiotensin converting enzyme inhibitor-induced angioedema: report of a further case..	Angiotensin converting enzyme inhibitor-induced angioedema: report of a further case..	Angiotensin converting enzyme inhibitor-induced angioedema: report of a further case..	11322382	-1
441	With corrections applied for baseline and placebo, nitrendipine (10 to 40 mg/d), with the possible addition of enalapril (5 to 20 mg/d) and/or hydrochlorothiazide (12.5 to 25 mg/d), reduced (P < .001) these blood pressure values by 16.6/7.3 and 9.8/4.7 mm Hg, respectively.	The net trough-to-peak ratios were first determined from blood pressure profiles (12 hours) with 1-hour precision, synchronized by the morning and evening doses of the double-blind medication.	Systolic Hypertension in Europe (SYST-EUR) Trial Investigators.. We explored how in parallel-group trials interindividual variability, correction for placebo effects, and smoothing of blood pressure profiles can be handled in measuring the trough-to-peak ratio in 244 individuals with isolated systolic hypertension (> or = 60 years) enrolled in the placebo-controlled Systolic Hypertension in europe Trial.	9040453	-1
442	Lupus and antiphospholipid antibody syndrome: either, neither, or both..	Lupus and antiphospholipid antibody syndrome: either, neither, or both..	Lupus and antiphospholipid antibody syndrome: either, neither, or both..	8304355	-1
